pc_learn;learning_outcome;cat_1;cat_2
0;Ein informeller Austausch ist sehr wichtig für das Miteinander - die „Lasten“, die andere mit sich herumtragen werden sichtbar und dadurch manche Äußerungen oder Reaktionen nachvollziehbar.;Positive Einstellung zur Teamarbeit;
0;Es war gut, dass wir zu zweit waren.;Positive Einstellung zur Teamarbeit;
7;Auswahl der wichtigen Prüfungsaufgaben;Nichts;
4;Auswahl Klassenarbeitssufgaben;Nichts;
0;Auswertung der Komplikationen/Evaluation;Nichts;
5;Zuviel vorgenommen;Fähigkeit zur Selbstreflexion;
1;Auswertung des Tests ( CFT 20-R);Nichts;
5;Auswertung von Antibiogrammen - kreative Schülerbeobachtungen;Nichts;
1;AVdual und ASV Noten;Nichts;
0;AvdualKlasse mit hohem Migrantenanzeil,teilweise neue Schüler,Disziplinverstöße;Nichts;
0;AVdual-SchülerInnen haben Termine mit Lernberatern und Eltern ausgemacht,aber die Termine nicht koordiniert und notiert,KlassenlehrerInnen müssen helfen und in ihrer Freizeit Kontakte pflegen;Nichts;
1;Azubis erzählen aus der Praxis, Umgang mit Kunden;Nichts;
2;"B
";Vermutliche Falscheingabe;
3;"Basismodell Unterrichtsbeobachtung und Bewertung, neue Auflage; Anwendung dazu";Nichts;
1;Bearbeitung von Beschwerden zur Mathematik Abitur Prüfung;Nichts;
1;Bearbeitung von Standardvorgängen;Nichts;
3;Diesen Versuch werde ich nimmer bei einer Klassenarbeit dranbringen.;Fähigkeit zur Selbstreflexion;
4;Bedeutung einer Ich-kann-Liste;Wissenserweiterung;
1;Bedienung der Spülmaschine im Labor;Wissenserweiterung;
2;Bedienung neues Programm;Wissenserweiterung;
2;Bedienung whiteboard;Wissenserweiterung;
7;"Beginn der ersten Abi-Korrektur in Pädagogik und Psychologie; inhaltlicher Austausch mit Kollege";Nichts;
0;Begleitung eines Schülers zum Gleis 25 - Jugend -Arbeitsagentur (zu), Gespräch zur Berufsorientierung;Nichts;
1;Begrifflicher Ursprung Blankvers;Wissenserweiterung;
0;Begrifflichkeiten müssen noch näher erläutert werden;Situationsdiagnostik;
5;Beharrlichkeit lohnt;Situationsdiagnostik;
0;Ich kann die Welt nicht immer retten.;Fähigkeit zur Selbstreflexion;
2;Arbeitszeiten selbständig begrenzen und auch nicht stressen lassen. Meine Bedürfnisse vor die der Kollegen stellen, nach mir schaut keiner außer mir;Gelassenheit;Fähigkeit zur Selbstreflexion
0;Bei der Leistungsfeststellung habe ich kaum Lernerfahrungen gemacht;Nichts;
0;Bei der Zinsrechnung braucht es 3 Niveaustufen zum Arbeiten.;Situationsdiagnostik;
0;Bei eine Stunde mit Schulleiter und Schulsozialarbeiterin aufgrund einer Disziplinierung von 2 SuS ist die Klasse leiser als sonst.;Nichts;
2;Die Vorbereitungen zum Außenhandel waren gut, ich konnte alle Fragen der Schüler beantworten;Fähigkeit zur Selbstreflexion;
0;Bei jedem Problem welches man gelöst hat, erweitert sich der Erfahrungshorizont;Situationsdiagnostik;
1;Bei Klassenkonferenz mit anderen Kolleg*innen sachlich zu diskutieren;Emotionsregulation;
0;gemeinsam geht es schneller, super Kollegen;Positive Einstellung zur Teamarbeit;
1;Bei manchen Dingen reagieren, wenn man das Gras wachsen hört.;Nichts;
3;Je mehr mündliche Prüfungen man durchführt, desto einfacher fällt es einem;Situationsdiagnostik;
2;Man lernt immer wieder neuen Wortschatz kennen und neue Fehlerquellen;Situationsdiagnostik;
0;Beim Abiball sieht man deutlich das Schüler - Lehrervehältnis;Nichts;
1;Beim Aufräumen der Biosammlung habe ich etliche alte Klassenarbeiten aus dem laufenden Schuljahr gefunden. Die SuS interessieren sich kaum dafür, holen sie nicht ab, wenn sie bei der Rückgabe krank waren.;Nichts;
0;Absprachen erleichtern;Positive Einstellung zur Teamarbeit;
0;Beim Korrigieren eines Abiturs? Keine. Fehler über drei Jahre angestrichen und besprochen. Jetzt wieder angestrichen. Nicht mehr zu besprechen - gottlob.;Nichts;
5;Mein Unterricht als Ergebnis zu sehen;Sonstiges;
2;Beim praktischen Umsetzen der Simulationssoftware immer wieder auf Probleme der Umsetzung gestoßen;Nichts;
3;Beim Telefonat mit der Bteilungsleiterin einer benachbarten Schule habe ich neben unserem Hauptthema auch infos zur gestrigen Dienstbesprechung erhalten.;Wissenserweiterung;
3;Dinge, die von anderen besser erledigt werden können, z.b. wegen mehr Erfahrung oder besseren Kenntnissen, abgeben.;Fähigkeit zur Selbstreflexion;
3;Beispiele schülernah wählen;Situationsdiagnostik;
0;bekomme den Kopf in der Mittagspause nicht frei, zu viele Gedanken was noch alles zu tun ist;Emotionale Erschöpfung;
4;benutzerverwaltung schulkonsle bedienung verbessertt;Nichts;
2;Beobachtung, wie einzelne SuS an Aufgaben herangehen/ Arbeitstempo;Nichts;
0;Beratung;Nichts;
7;Beratung für einen Unterrichtsbesuch einer Kollegin;Nichts;
7;Beratung und Gespräch eines Unterrichtsbesuchs einer Kollegin zu gemeinsamen Unterrichtsinhalten;Nichts;
1;Beratung und Testung eines Schülers;Nichts;
1;Beratung zum Thema Lernstrategien;Nichts;
4;Beratungserfolg;Sonstiges;
7;Beratungsgespräch;Nichts;
4;Beratungskompetenzen;Festigung von Kernkompetenzen;
2;Beratungskriterien;Wissenserweiterung;
7;Beratungslehrerin, ich habe neue Beratungsmethoden ausprobiert;Lernen neuer Arbeitsmethoden;
1;Beratungslehrertätigkeit;Nichts;
5;Beratungspraxis;Festigung von Kernkompetenzen;
2;Beratungsslehrertätigkeit;Nichts;
2;Beratungstätigkeit;Nichts;
0;Berechnung der Zeugnisnoten;Nichts;
7;Berechnung von Haftverlegeplänen bei Metallbedachungen;Nichts;
1;Bereich im Rahmen der Recherche nicht vermutet;Wissenserweiterung;
1;Bereitschaft zu Flexibilität der Sportkollegen;Nichts;
1;Bereitstellung von Nachprüfungen hat höchste Sicherheitsstufe;Nichts;
7;Berichte zu gelaufenen Projekten geschrieben und verschickt, neue Projekttermine ausgemacht und vorbereitet, Konferenzen vorbereitet;Nichts;
3;Berufsorientierungsmassnahmen an einer Realschule;Nichts;
0;Berufsschüler sind motivierter als Vollzeitklassen;Situationsdiagnostik;
5;Berufsschulsystem in Südtirol;Wissenserweiterung;
2;Beschaffung;Nichts;
0;Beschluss für ein Schüler;Nichts;
3;Besonderheiten bayrischer Zeugnisse;Wissenserweiterung;
5;besprechubg von konflikteb im kollegium...schwangerschaften vertretungen etc;Nichts;
3;Besprechung einer Prüfungsaufgabe;Nichts;
0;Besprechung eines Testergebnisses mit einem Kollegen;Nichts;
0;Besprechung Projektarbeit, Routineaufgabe;Nichts;
2;Besprechung Schülerfeedback;Nichts;
2;Besprechung selbsttag, IF;Nichts;
4;Besprechung von Prüfung und Unterrichtsinhalten;Nichts;
1;Besprechung wegen Prüfung in der Berufsschule. Diese Prüfung habe ich noch nie abgenommen insofern waren die Infos wichtig;Wissenserweiterung;
5;Besprechung zu schulorganisatirischen Abläufen;Nichts;
0;Besprechungen mit dem Vorgesetzten sind anstrengend;Situationsdiagnostik;
1;Absprachen sind bei der Klassenführung sehr wichtig;Positive Einstellung zur Teamarbeit;
0;Besser am Vortag schon kopieren und Material besorgen;Gewissenhaftes, sorgfältiges Arbeiten;
0;besser delegieren;Fähigkeit zur Selbstreflexion;
3;Besser etwas selbst organisieren;Gewissenhaftes, sorgfältiges Arbeiten;
4;besser organisieren;Gewissenhaftes, sorgfältiges Arbeiten;
7;Auffrischung der Erste-Hilfe-Kenntnisse geben mehr Sicherheit;Situationsdiagnostik;
0;"Bessere Org. des Online-Unterrichts
";Gewissenhaftes, sorgfältiges Arbeiten;
1;Bessere Strukturierung in der Unterrichtsplanung;Gewissenhaftes, sorgfältiges Arbeiten;
2;bessere Vorbereitung (aber keine Zeit);Gewissenhaftes, sorgfältiges Arbeiten;
1;Bessere Vorbereitung der Schüler/innen auf Impulse im Freispiel;Gewissenhaftes, sorgfältiges Arbeiten;
3;Bessere Vorbereitung weniger Stress;Gewissenhaftes, sorgfältiges Arbeiten;
2;Bessere Vorbereitungen auf Abschlussarbeiten;Gewissenhaftes, sorgfältiges Arbeiten;
3;bessere Zuordnung zu Kompetenzstufen;Festigung von Kernkompetenzen;
3;Besseres Verständnis des Zeugnisprogrammes;Wissenserweiterung;
2;Bestätigung für den Erfolg einer alternativen Unterrichtsmethode;Lernen neuer Arbeitsmethoden;
0;Bestellungen für Labor durchgeführt;Nichts;
5;Austausch im Team lohnt sich, Antirassismus;Positive Einstellung zur Teamarbeit;
2;Besuch eines Workshops an Nachbarschule -Orga;Nichts;
5;Besuch in einer Firma, die I4.0-Lösungen anbietet;Nichts;
3;Besuch Veranstaltung;Nichts;
3;Betreuung  von Praktikant;Nichts;
2;Betreuung Auszubildende;Nichts;
0;Betreuung von praktikanten;Nichts;
0;Betreuung von Referendaren wir immer schwieriger;Situationsdiagnostik;
6;Betriebsbesichtigung;Nichts;
0;Betriebsunfall dienen als Gesprächsgrundlage;Nichts;
0;Betroffene von Mobbing provozieren auch selbst ihre Peiniger;Nichts;
1;Better prepare early;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
4;Aufgaben abgeben, die ich nicht leisten kann;Fähigkeit zur Selbstreflexion;
1;Die Erfahrung hilft, sich weniger Stress zu machen.;Situationsdiagnostik;
4;Beurteilungsverfahren Unterrichtsbesuch;Wissenserweiterung;
0;Beweglicher Ferientage. Nicht mal hier hat man seine Ruhe.;Nichts;
2;Bewerbungsauswahlverfahren;Nichts;
0;Bewerbungsgespräch früher machen;Fähigkeit zur Selbstreflexion;
2;Bewerbungsgespräche;Nichts;
3;Bewertung des Lernfeldprojektes;Nichts;
1;Bewertung mündlicher Leistung beim ersten Eindruck;Nichts;
4;Bewertung Präsentationen;Nichts;
2;Bewertung Praxis;Nichts;
5;Bewertung Unterricht;Nichts;
1;Bewertung von Arbeiten;Nichts;
1;Bewertung von durch SchülerInnen erstellten Videos zeigt, welche Unterrichtsinhalte nicht vollständig verstanden wurden.;Situationsdiagnostik;
2;Bewertung von Projektkompetenz in der ÜFA;Nichts;
7;Bewertung von Schreibprodukten;Nichts;
1;Bewertung von SuS Leistungen;Nichts;
2;BewO;Nichts;
0;Bezieht sich auf gewährte Zusatzleistung, die ungebührend Mehraufwand darstellt.;Nichts;
3;Beziehungen, Hintergründe zu Schülern;Nichts;
1;Austausch ist wichtig;Positive Einstellung zur Teamarbeit;
5;Beziehungsarbeit, Umgang mit psychischen Problemen von SuS;Situationsdiagnostik;
3;Beziehungsaufbau zu SuS;Nichts;
1;Beziehungsgestaltung;Nichts;
6;Beziehungsgestaltung SMV;Nichts;
6;Beziehungsgestaltung SuS, Durchführung Projekt;Nichts;
6;Beziehungspflege;Sonstiges;
3;Bezug zu neuen Tätigkeiten;Nichts;
0;Bildung von Klassen für Uraine-Flüchtinge. Kurzfristige Abssage einer geplanten Lehrkraft macht Umstrukturierung nötig;Nichts;
5;Bildungsplanarbeit, didaktische;Nichts;
2;Bildungsplaninhalte;Wissenserweiterung;
2;bin langsam müde;Emotionale Erschöpfung;
3;Bis zur Routine einarbeiten;Festigung der eigenen Routine;
2;Bisher problemlose Klasse verweigert bei Kollegin Stationenlernen;Nichts;
5;Bisher unbekannte Fabel gefunden;Wissenserweiterung;
2;BITTE BEACHTEN, sofern möglich: Die letzten drei Einträge sind fehlerhaft, dieser Eintrag schließt sich an meinen ersten zur Unterrichtsvorbereitung an.;Vermutliche Falscheingabe;
1;BK1W hat extrem niedriges Vorwissen;Situationsdiagnostik;
2;eigene Offenheit bewirkt auch Offenheit bei SuS;Situationsdiagnostik;
5;Blöd, Nachschreibearbeit nicht dabei zu haben!;Nichts;
2;bocking.com für Paris mit Schülern;Nichts;
1;Brandschutz, Arbeitsschutz etc.;Nichts;
0;braucht ich;Vermutliche Falscheingabe;
0;Brieftexte für Aufnahmezusagen und Wartelistenbriefe;Nichts;
1;Bücher für die Fachschaft organisiert;Nichts;
4;Bücher sollten selbst gekauft werden im nächsten Jahr, um die Wertschätzung zu erhöhen.;Situationsdiagnostik;
2;Bücherlisten in Zukunft besser führen;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
0;buerokratie,keine kosequenz,sehr unnoetig;Nichts;
5;Bürokratie bei Asylverfahren kennen (Fall);Wissenserweiterung;
3;Bürokratie ist mühsam unbekannte vereinfacht werden;Nichts;
7;Bürokratie Monster;Nichts;
0;Bürorätigkeiten sind wie ein Nadelstechen. Tut kurz weh, ist aber schnell vergessen. Aber wenn es immer und immer wieder auftritt… dann nervt es.;Nichts;
0;Busverbindungen ändern sich leider nicht,Schüler kommen zu spät;Nichts;
4;BVE hatte ich noch nie. Schüler mit Behinderung,;Nichts;
2;BWK organisieren;Nichts;
5;ca. 30 Minuten Gespräche mit Schülern über die Kriegssituation;Nichts;
7;CAD;Nichts;
0;chaotische Sitzung zum Abgleich mit Kollegen in einem Fach;Nichts;
1;Checken von Emails und Teams. Schüler haben das Angebot, nochmal zu üben, kaum wahrgenommen;Nichts;
1;Chemische Strukturen;Nichts;
1;Chromatographiemethoden;Nichts;
7;Citavi ist zu teuer geworden, Zotero gut für SuS geeignet, die Haus- oder Seminararbeiten schreiben sollen, einfach Bedingung, kostenlos;Wissenserweiterung;
2;CNC Strategien aus der praktischen Anwendung;Wissenserweiterung;
1;Computer sind doof;Nichts;
0;Flexibel sein und Befindlichkeiten von mir und Kollegen der Sache wegen zurückstellen;Situationsdiagnostik;
3;Cornelsen-Schulleitungsstudie, das Deutsche Bildungssystem, Schule zukunftsfähig machen.;Wissenserweiterung;
3;"Corona""geschädigte"" SuS im Berufskolleg haben Schwierigkeiten, sich nachmittags zu konzentrieren";Situationsdiagnostik;
0;Coronaauswirkung auf Jugendliche;Nichts;
2;coronabedingte Strechungen reichen nicht aus, um ausgefallene Umterrichtszeit zu kompensieren;Situationsdiagnostik;
4;Corona-Dokumentation wird immer anstrengender;Situationsdiagnostik;
1;Coronaregelungen aktuelle;Wissenserweiterung;
0;Coronatest stehlen mir Pausen-, Unterrichtsvorbereitungs- und Unterrichtszeit;Nichts;
0;Coronatest Vorbeteiten;Nichts;
0;Coronatests durchgeführt;Nichts;
0;Coron-Test;Nichts;
3;Curriculumentwicklung;Nichts;
2;Da Aufsicht im Flur stattfand, war Nebenbeschäftigung möglich. Recherche zu möglichen neuen Großversuchen im Labor;Wissenserweiterung;
0;Da die Schüler immer öfter Probleme mit der selbständigen Organisation ihres Schulalltags (vom Mitbringen des Materials über das rechtzeitige Lernen vor Klassenarbeiten bis hin zum angemessenen Verhalten im schulischen Kontext) haben, entstand innerhalb..;Situationsdiagnostik;
0;Da ich es beim Wochenrückblick nicht eingeben konnte: ich habe beim Eintragen diese Woche zwei Fehler gemacht. Der letzte heute, die Interaktion mit dem Schüler war am 19.3. von 19:15-19:40 und ging natürlich nicht bis zum 20.3.;Vermutliche Falscheingabe;
2;Dafür, dass die Klausur leichter war, sind die ersten Ergebnisse nicht überragend. Mal sehen, was noch kommt.;Nichts;
0;Daheim auf der Terrasse ist es sehr schön. Viel schöner als in der Schule.;Nichts;
4;Darstellungen Content Homepage;Nichts;
0;Das Antworten auf die vielen Schülermails kostet sehr viel Zeit.;Situationsdiagnostik;
0;Das bei Hitze (gefühlten 40 Grad) nicht wirklich etwas läuft;Situationsdiagnostik;
0;Das Das mit mir und diesem Einrichten der Schülertablets nix wird, das habe ich voriges Jahr schon gemerkt. Es gab morgens Unterstützung vom Admin, aber nicht lange genug.;Jobunzufriedenheit/Frustration ;
0;Das das programm rückenwind alles andere als rückenwind ist. 😡;Jobunzufriedenheit/Frustration ;
1;Das die Corona Krankmeldungen sehr den geplanten Tagesablauf negativ beeinträchtigen.;Situationsdiagnostik;
7;"Das Finden von freien Terminen für den Kollegiumsausflug ist kaum möglich ;)";Nichts;
2;Das Grundwissen der Azubis wird immer schlechter;Situationsdiagnostik;
7;Fortbildung erleichtern mir meine eigene Unterrichtsvorbereitung erheblich;Situationsdiagnostik;
5;Austausch mit Jugendsozialarbeit ist wichtiger als gedacht;Positive Einstellung zur Teamarbeit;
2;Das ist das, was immer bleiben wird: viel,zu regeln. Kopien, Absprachen, …;Nichts;
0;Das KM ist zu blöd, um Seiten zu paginieren und zu zählen. Wieder mal Fehler in der Abiturprüfung.;Nichts;
1;Das mich eine Vielzahl von kleinen Tätigkeiten schnell aus dem Konzept bringen kann, weil ich sie richtig organisieren muss und nichts vergessen darf.;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
7;Das nachhilfe-programm rückenwind kann nicht sinnvoll umgesetzt werden, wenn schüler mit verschiedenen themen auf einen zukommen (auch, wenn es dieselbe klassenstufe ist). Besser wäre es, wenn alle fachkollegen chronologisch dasselbe unterrichten;Situationsdiagnostik;
2;das nächste PCR Testzentrum gegoogelt für den Schüler, gelernt, dass doch nicht alle in der Lage sind auch allein in so einer Situation zurecht zu finden;Situationsdiagnostik;
3;Das Niveau ist immer wieder schwer einzuschätzen.;Situationsdiagnostik;
0;Das Niveau sinkt und es liegt nicht an mir;Fähigkeit zur Selbstreflexion;Situationsdiagnostik
2;Das Private beeinflusst due Arbeit massiv.;Situationsdiagnostik;
0;Das Privatleben mit Kindern kollidiert ständig mit den häuslichen Arbeitszeiten eines Lehrers.;Nichts;
1;Das Schüler ohne Aufsicht ihre Aufgaben nicht machen;Situationsdiagnostik;
0;Das sprachliche Level der Schüler wird immer schwächer. Gerade bei volkswirtschaftlichen Themen müssen mehr VWL-Lehrer unterrichten. WISO geht im Lehrplan bei BWL-Lehrern etwas unter;Situationsdiagnostik;
2;Das Stressgefühl entsteht durch den nahtlosen Übergang von Terminen.;Emotionale Erschöpfung;
3;Das stressigste sind überlastete Kollegen, deren Unmut sich dann auf andere überträgt. Ein Teil ist ernstzunehmende Problematik, ein anderer  ist die Zumutung für das Umfeld aufgrund mangelnder Selbstreflexion.;Situationsdiagnostik;
3;Das Verhalten eines Schülers kann sehr kräftezehrend sein.;Situationsdiagnostik;
0;dass Arbeit zu Hause entspannt ist;Nichts;
3;Dass auch nach zwei Jahren Coronatests Stress auslösen und sich dieser Stress kaum bewältigen lässt. Dabei ist es egal, ob ich bei den 2 Kindern einen Test mache, meine Frau oder ich einen Test durchführt, das Risiko positiv zu sein ist stressauslösend.;Situationsdiagnostik;
0;dass beim Erstellen eines Planes sehr viel bedacht werden muss;Situationsdiagnostik;
0;dass beim Spielen von Kahoot eine starke Konkurrenz entsteht;Situationsdiagnostik;
0;dass das Ausfüllen der Zeiterfassungsapp in der Pause keinen Spaß macht;Jobunzufriedenheit/Frustration ;
0;dass das Ausfüllen von Feedbackbögen kompliziert sein kann;Situationsdiagnostik;
2;dass das Schulsystem Lücken hat. es ist mir nicht erlaubt. SuS dürfen trotz hoher Fehlzeit zur Prüfung;Situationsdiagnostik;
3;dass der Automatismus aus dem alten Schuljahr selbstverständlich ins neue Schuljahr übernommen wird;Situationsdiagnostik;
0;Dass der Schulstart extrem belastend ist für die Stimme und die Nerven;Emotionale Erschöpfung;
1;dass dich leider organisatorisch nichts verbessert hat;Jobunzufriedenheit/Frustration ;
3;dass die GlK auch ein Machtinstrument ist;Nichts;
5;dass die Lehrer ihre Aufgaben mit mehr oder weniger Engagement erledigen und der Chef daran nur wenig ändern kann;Situationsdiagnostik;
1;dass die Sus immer mehr Geduld fordern;Situationsdiagnostik;
3;Dass die SuS kein Interesse an Lernwortkärtchen haben und dass ich mir die Arbeit, die dahinter steckt sparen kann.;Situationsdiagnostik;
5;dass die Sus selbst über ihr Leben entscheiden und ich zusehen muss, dass sie alles tun um nicht an der Prüfung teilnehmen zu dürfen.;Situationsdiagnostik;
1;dass die Sus teilweise Angst vor mir haben;Situationsdiagnostik;
1;dass die Sus, seit sie wissen,  dass sie in die 2BFS gehen dürfen,  stark nachlassen;Situationsdiagnostik;
